model_scope,model_family,dataset,pred_len,chosen_action,chosen_config,chosen_mse,oracle_action,oracle_config,oracle_mse,baseline_mse,static_config,static_mse,fallback_used,gain_vs_baseline,gain_vs_static,regret_vs_oracle,action_hit,config_hit,split_mode,fold,selected_feature
PatchTST-transfer,PatchTST,ETTh2,336,bounded_linear,tanh_ffn_linear,0.333190510670344,baseline,gelu_ffn_linear,0.3284500340620677,0.3284500340620677,gelu_ffn_linear,0.3284500340620677,False,-0.014432869893934908,-0.014432869893934908,0.014432869893934908,False,False,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
PatchTST-transfer,PatchTST,ETTh2,720,baseline,gelu_ffn_linear,0.3808809022108714,bounded_linear,softsign_ffn_linear,0.3783149619897206,0.3808809022108714,gelu_ffn_linear,0.3808809022108714,False,0.0,0.0,0.00678255020011746,False,False,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
iTransformer-placeprobe,iTransformer,ETTh2,96,output_tanh,gelu_ffn_outtanh,0.2996672689914703,output_tanh,gelu_ffn_outtanh,0.2996672689914703,0.3015976250171661,swish_ffn_outtanh,0.3000729382038116,False,0.006400435101522866,0.0013519020234532956,0.0,True,True,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
iTransformer-stage1,iTransformer,ETTh2,96,baseline,gelu_ffn_linear,0.3015976250171661,baseline,gelu_ffn_linear,0.3015976250171661,0.3015976250171661,gelu_ffn_linear,0.3015976250171661,False,0.0,0.0,0.0,True,True,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
iTransformer-stage1,iTransformer,ETTh2,336,bounded_linear,softsign_ffn_linear,0.4282671809196472,baseline,gelu_ffn_linear,0.4228940308094024,0.4228940308094024,gelu_ffn_linear,0.4228940308094024,False,-0.012705665530347663,-0.012705665530347663,0.012705665530347663,False,False,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
iTransformer-stage1,iTransformer,ETTh2,720,baseline,gelu_ffn_linear,0.4289864897727966,baseline,gelu_ffn_linear,0.4289864897727966,0.4289864897727966,gelu_ffn_linear,0.4289864897727966,False,0.0,0.0,0.0,True,True,leave_dataset,ETTh2,input_daily_cycle_energy_ratio
Informer-fullgrid,Informer,ETTm1,24,bounded_linear,tanh_all,0.3144746066666666,bounded_linear,tanh_all,0.3144746066666666,0.36323779,tanh_sin001_all,0.3307421466666667,False,0.13424589807501416,0.04918496225518868,0.0,True,True,leave_dataset,ETTm1,d_layers
Informer-fullgrid,Informer,ETTm1,48,bounded_linear,tanh_all,0.4533515166666667,bounded_linear,tanh_all,0.4533515166666667,0.5090825200000001,tanh_sin001_all,0.4834186933333333,False,0.10947341765600871,0.062196967310766196,0.0,True,True,leave_dataset,ETTm1,d_layers
Informer-fullgrid,Informer,ETTm1,96,bounded_linear,tanh_sin001_all,0.5593670199999999,bounded_linear,tanh_sin001_all,0.5593670199999999,0.6162993133333333,tanh_sin001_all,0.5593670199999999,False,0.09237766796365199,0.0,0.0,True,True,leave_dataset,ETTm1,d_layers
Informer-fullgrid,Informer,ETTm1,288,bounded_linear,tanh_all,0.8019380233333333,bounded_linear,tanh_all,0.8019380233333333,0.8856588200000001,tanh_sin001_all,0.8031218266666666,False,0.0945293997824882,0.0014740021924776778,0.0,True,True,leave_dataset,ETTm1,d_layers
Informer-fullgrid,Informer,ETTm1,672,bounded_linear,softsign_all,0.92203278,bounded_linear,softsign_all,0.92203278,1.002575233333333,tanh_sin001_all,1.00667942,False,0.08033557049434373,0.0840850009628686,0.0,True,True,leave_dataset,ETTm1,d_layers
Informer-fullgrid,Informer,ETTm2,24,bounded_linear,tanh_all,0.6846686166666666,bounded_linear,tanh_all,0.6846686166666666,1.2393198333333333,tanh_sin001_all,0.7708657899999999,False,0.44754485625784796,0.11181865176989284,0.0,True,True,leave_dataset,ETTm2,d_layers
Informer-fullgrid,Informer,ETTm2,48,bounded_linear,softsign_all,0.30922799,bounded_linear,softsign_all,0.30922799,0.39631575,tanh_sin001_all,0.3262692066666666,False,0.21974337381242107,0.0522305394394046,0.0,True,True,leave_dataset,ETTm2,d_layers
Informer-fullgrid,Informer,ETTm2,96,bounded_linear,tanh_sin001_all,1.3350371,bounded_linear,tanh_sin001_all,1.3350371,1.6045523666666668,tanh_sin001_all,1.3350371,False,0.16796913099605704,0.0,0.0,True,True,leave_dataset,ETTm2,d_layers
Informer-fullgrid,Informer,ETTm2,288,bounded_linear,tanh_sin001_all,2.525360733333333,output_tanh,tanh_all_outtanh,2.3545683,5.329461733333333,tanh_sin001_all,2.525360733333333,False,0.5261508835801629,0.0,0.0725366230970379,False,False,leave_dataset,ETTm2,d_layers
Informer-fullgrid,Informer,ETTm2,672,bounded_linear,tanh_sin001_all,3.069366666666667,output_tanh,tanh_all_outtanh,2.8509023666666664,7.812617166666667,tanh_sin001_all,3.069366666666667,False,0.6071269587146245,0.0,0.07662987780792835,False,False,leave_dataset,ETTm2,d_layers
PatchTST-transfer,PatchTST,ETTm2,96,baseline,gelu_ffn_linear,0.1655888458093007,baseline,gelu_ffn_linear,0.1655888458093007,0.1655888458093007,gelu_ffn_linear,0.1655888458093007,False,0.0,0.0,0.0,True,True,leave_dataset,ETTm2,d_layers
PatchTST-transfer,PatchTST,ETTm2,288,baseline,gelu_ffn_linear,0.2627387841542561,baseline,gelu_ffn_linear,0.2627387841542561,0.2627387841542561,gelu_ffn_linear,0.2627387841542561,False,0.0,0.0,0.0,True,True,leave_dataset,ETTm2,d_layers
PatchTST-transfer,PatchTST,ETTm2,672,baseline,gelu_ffn_linear,0.3552324970563252,baseline,gelu_ffn_linear,0.3552324970563252,0.3552324970563252,gelu_ffn_linear,0.3552324970563252,False,0.0,0.0,0.0,True,True,leave_dataset,ETTm2,d_layers
iTransformer-placeprobe,iTransformer,ETTm2,96,output_tanh,tanh_sin001_ffn_outtanh,0.1847056299448013,bounded_linear,tanh_sin001_ffn_linear,0.1838691085577011,0.1842259466648101,swish_ffn_outtanh,0.1848336607217788,False,-0.002603776985138609,0.0006926810651129294,0.0045495482828083545,False,False,leave_dataset,ETTm2,d_layers
iTransformer-placeprobe,iTransformer,ETTm2,720,output_tanh,tanh_ffn_outtanh,0.408508151769638,output_tanh,tanh_ffn_outtanh,0.408508151769638,0.414091557264328,swish_ffn_outtanh,0.4103966057300567,False,0.013483504787145247,0.00460153406254255,0.0,True,True,leave_dataset,ETTm2,d_layers
iTransformer-stage1,iTransformer,ETTm2,96,baseline,gelu_ffn_linear,0.1842259466648101,bounded_linear,tanh_sin001_ffn_linear,0.1838691085577011,0.1842259466648101,gelu_ffn_linear,0.1842259466648101,False,0.0,0.0,0.0019407181005449046,False,False,leave_dataset,ETTm2,d_layers
iTransformer-stage1,iTransformer,ETTm2,336,baseline,gelu_ffn_linear,0.3134183883666992,baseline,gelu_ffn_linear,0.3134183883666992,0.3134183883666992,gelu_ffn_linear,0.3134183883666992,False,0.0,0.0,0.0,True,True,leave_dataset,ETTm2,d_layers
iTransformer-stage1,iTransformer,ETTm2,720,baseline,gelu_ffn_linear,0.414091557264328,baseline,gelu_ffn_linear,0.414091557264328,0.414091557264328,gelu_ffn_linear,0.414091557264328,False,0.0,0.0,0.0,True,True,leave_dataset,ETTm2,d_layers
Informer-fullgrid,Informer,Solar1,24,bounded_linear,tanh_sin001_all,0.1543040433333333,other_linear,swish_all,0.1504306033333333,0.15319326,tanh_sin001_all,0.1543040433333333,False,-0.007250862951368157,0.0,0.025749015919433637,False,False,leave_dataset,Solar1,d_layers
Informer-fullgrid,Informer,Solar1,96,bounded_linear,softsign_all,0.2238896466666666,bounded_linear,softsign_all,0.2238896466666666,0.2299245,tanh_sin001_all,0.22920594,False,0.026247108652333245,0.02319439598002298,0.0,True,True,leave_dataset,Solar1,d_layers
Informer-fullgrid,Informer,Solar2,24,bounded_linear,tanh_all,0.0660672966666666,bounded_linear,tanh_all,0.0660672966666666,0.07067754,tanh_sin001_all,0.0661700833333333,False,0.06522925576262845,0.0015533706697770258,0.0,True,True,leave_dataset,Solar2,d_layers
Informer-fullgrid,Informer,Solar2,96,bounded_linear,tanh_all,0.1079668713333333,bounded_linear,tanh_all,0.1079668713333333,0.121002457,tanh_sin001_all,0.1099318786666666,False,0.10772992540694191,0.017874772606147803,0.0,True,True,leave_dataset,Solar2,d_layers
PatchTST-transfer,PatchTST,Solar2,24,baseline,gelu_ffn_linear,0.0654503032565115,bounded_linear,tanh_sin001_ffn_linear,0.0651733204722403,0.0654503032565115,gelu_ffn_linear,0.0654503032565115,False,0.0,0.0,0.004249941268362653,False,False,leave_dataset,Solar2,d_layers
PatchTST-transfer,PatchTST,Solar2,96,baseline,gelu_ffn_linear,0.0996658479173978,bounded_linear,softsign_ffn_linear,0.0985503618915875,0.0996658479173978,gelu_ffn_linear,0.0996658479173978,False,0.0,0.0,0.0113189439835585,False,False,leave_dataset,Solar2,d_layers
Informer-fullgrid,Informer,Solar3,24,bounded_linear,tanh_all,0.1991079066666666,baseline,gelu_all,0.19754754,0.19754754,tanh_sin001_all,0.1996140866666666,False,-0.00789868943276448,0.0025357929816108593,0.00789868943276448,False,False,leave_dataset,Solar3,d_layers
Informer-fullgrid,Informer,Solar3,96,bounded_linear,softsign_all,0.3575025799999999,baseline,gelu_all,0.3490070666666667,0.3490070666666667,tanh_sin001_all,0.3582779566666667,False,-0.024341952197338135,0.0021641763112659586,0.024341952197338135,False,False,leave_dataset,Solar3,d_layers
PatchTST-transfer,PatchTST,Solar3,24,baseline,gelu_ffn_linear,0.2790345549583435,baseline,gelu_ffn_linear,0.2790345549583435,0.2790345549583435,gelu_ffn_linear,0.2790345549583435,False,0.0,0.0,0.0,True,True,leave_dataset,Solar3,d_layers
PatchTST-transfer,PatchTST,Solar3,96,baseline,gelu_ffn_linear,0.4464092453320821,baseline,gelu_ffn_linear,0.4464092453320821,0.4464092453320821,gelu_ffn_linear,0.4464092453320821,False,0.0,0.0,0.0,True,True,leave_dataset,Solar3,d_layers
Informer-fullgrid,Informer,Solar4,24,bounded_linear,tanh_sin001_all,0.2198203,bounded_linear,tanh_sin001_all,0.2198203,0.22417717,tanh_sin001_all,0.2198203,False,0.019434940676608652,0.0,0.0,True,True,leave_dataset,Solar4,d_layers
Informer-fullgrid,Informer,Solar4,96,bounded_linear,enc_tanh_dec_gelu,0.2904489733333333,bounded_linear,enc_tanh_dec_gelu,0.2904489733333333,0.2962589366666666,tanh_sin001_all,0.29505972,False,0.019611098988957465,0.015626486281037345,0.0,True,True,leave_dataset,Solar4,d_layers
Informer-fullgrid,Informer,Solar5,24,bounded_linear,tanh_all,0.1097140836666666,other_linear,swish_all,0.1086942266666666,0.11345904,tanh_sin001_all,0.1111889983333333,False,0.033007121630267595,0.013264933480604419,0.009382807452392132,False,False,leave_dataset,Solar5,d_layers
Informer-fullgrid,Informer,Solar5,96,bounded_linear,enc_tanh_dec_gelu,0.1803903966666666,bounded_linear,enc_tanh_dec_gelu,0.1803903966666666,0.1952658699999999,tanh_sin001_all,0.1809671666666666,False,0.07618061125240838,0.00318715273396742,0.0,True,True,leave_dataset,Solar5,d_layers
PatchTST-transfer,PatchTST,Solar5,24,baseline,gelu_ffn_linear,0.1147918154795964,bounded_linear,tanh_sin001_ffn_linear,0.1132596855362256,0.1147918154795964,gelu_ffn_linear,0.1147918154795964,False,0.0,0.0,0.013527584295479492,False,False,leave_dataset,Solar5,d_layers
PatchTST-transfer,PatchTST,Solar5,96,baseline,gelu_ffn_linear,0.1763663589954376,bounded_linear,softsign_ffn_linear,0.1745828092098235,0.1763663589954376,gelu_ffn_linear,0.1763663589954376,False,0.0,0.0,0.010216067628230944,False,False,leave_dataset,Solar5,d_layers
Informer-fullgrid,Informer,Solar6,24,bounded_linear,tanh_sin001_all,0.2647689099999999,bounded_linear,tanh_sin001_all,0.2647689099999999,0.2678011566666666,tanh_sin001_all,0.2647689099999999,False,0.011322754182279111,0.0,0.0,True,True,leave_dataset,Solar6,d_layers
Informer-fullgrid,Informer,Solar6,96,bounded_linear,tanh_sin001_all,0.35758402,bounded_linear,tanh_sin001_all,0.35758402,0.3658587066666667,tanh_sin001_all,0.35758402,False,0.022617164812222854,0.0,0.0,True,True,leave_dataset,Solar6,d_layers
Informer-fullgrid,Informer,Solar7,24,bounded_linear,enc_tanh_dec_gelu,3.5683905333333334,other_linear,relu_all,3.280724533333333,3.861249133333333,tanh_sin001_all,4.6540805,False,0.07584555927039632,0.23327700641763,0.08768367995459886,False,False,leave_dataset,Solar7,d_layers
Informer-fullgrid,Informer,Solar7,96,bounded_linear,enc_tanh_dec_gelu,4.969628033333334,bounded_linear,enc_tanh_dec_gelu,4.969628033333334,7.969580333333333,tanh_sin001_all,6.100530066666667,False,0.37642537932047526,0.18537766734608666,0.0,True,True,leave_dataset,Solar7,d_layers
Informer-fullgrid,Informer,Solar8,24,bounded_linear,tanh_sin001_all,0.21601371,bounded_linear,tanh_sin001_all,0.21601371,0.2176429366666666,tanh_sin001_all,0.21601371,False,0.007485777813969926,0.0,0.0,True,True,leave_dataset,Solar8,d_layers
Informer-fullgrid,Informer,Solar8,96,bounded_linear,softsign_all,0.30559342,bounded_linear,softsign_all,0.30559342,0.31376261,tanh_sin001_all,0.3089488333333333,False,0.02603621253660528,0.010860741233850307,0.0,True,True,leave_dataset,Solar8,d_layers
